Nome da Música,Artista,Álbum,Duração (min:seg),Data de Reprodução
Death Of Me,Connor Kauffman,The Butterfly Effect,2:50,22/11/2024 14:47:21
IOU,Layto,IOU,3:11,22/11/2024 14:44:31
Dead Or Alive,Stileto,Dead or Alive,2:27,22/11/2024 14:41:19
Bad Dream,Stellar,Bad Dream,2:27,22/11/2024 14:38:50
Zombie,Bad Wolves,Disobey,4:14,22/11/2024 14:36:22
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Hollywood's Bleeding,2:37,22/11/2024 14:32:06
Wolves,Sam Tinnesz,Babel,3:00,22/11/2024 14:29:28
Blood Sweat & Tears (from the series Arcane League of Legends),Sheryl Lee Ralph,Blood Sweat & Tears (from the series Arcane League of Legends),3:42,22/11/2024 14:26:28
Cravin',Stileto,Cravin',2:52,22/11/2024 14:22:44
Beggin',Måneskin,Chosen,3:31,22/11/2024 14:19:51
The Kid I Used to Know,Arrested Youth,Sobville (Episode I),2:25,22/11/2024 14:16:19
Teeth,5 Seconds of Summer,CALM,3:25,22/11/2024 14:13:53
To Ashes and Blood (from the series Arcane League of Legends),Woodkid,To Ashes and Blood (from the series Arcane League of Legends),4:05,22/11/2024 14:10:27
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,Mercury - Acts 1 & 2,2:53,22/11/2024 14:06:21
Hold On Me,Kygo,Hold On Me,2:51,22/11/2024 14:03:27
PRETTY PLEASE,Dutch Melrose,PRETTY PLEASE,2:46,22/11/2024 14:00:35
Paint The Town Blue (from the series Arcane League of Legends),Ashnikko,Paint The Town Blue (from the series Arcane League of Legends),1:55,22/11/2024 13:57:48
Over Each Other,Linkin Park,From Zero,2:50,22/11/2024 13:55:52
Fighting For,The Score,Last Legends,2:29,22/11/2024 13:53:01
IDGAF (with blackbear),BoyWithUke,Serotonin Dreams,2:20,22/11/2024 13:50:31
